RegionName,StateName,Median Rent
"Anchorage, AK",AK,"$1,681"
"Fairbanks, AK",AK,"$1,774"
"Birmingham, AL",AL,"$1,375"
"Huntsville, AL",AL,"$1,390"
"Mobile, AL",AL,"$1,236"
"Montgomery, AL",AL,"$1,366"
"Tuscaloosa, AL",AL,"$1,537"
"Daphne, AL",AL,"$1,753"
"Auburn, AL",AL,"$1,608"
"Decatur, AL",AL,"$1,049"
"Florence, AL",AL,"$1,158"
"Dothan, AL",AL,"$1,132"
"Anniston, AL",AL,$989
"Gadsden, AL",AL,$939
"Albertville, AL",AL,"$1,500"
"Cullman, AL",AL,"$1,457"
"Talladega, AL",AL,"$1,162"
"Jasper, AL",AL,"$1,260"
"Enterprise, AL",AL,"$1,367"
"Ozark, AL",AL,"$1,283"
"Troy, AL",AL,$979
"Little Rock, AR",AR,"$1,221"
"Fayetteville, AR",AR,"$1,545"
"Fort Smith, AR",AR,"$1,055"
"Jonesboro, AR",AR,"$1,320"
"Hot Springs, AR",AR,"$1,364"
"Pine Bluff, AR",AR,$842
"Russellville, AR",AR,$914
"Searcy, AR",AR,"$1,269"
"Paragould, AR",AR,$992
"Mountain Home, AR",AR,"$1,100"
"Phoenix, AZ",AZ,"$1,728"
"Tucson, AZ",AZ,"$1,463"
"Prescott Valley, AZ",AZ,"$1,838"
"Lake Havasu City, AZ",AZ,"$1,570"
"Yuma, AZ",AZ,"$1,374"
"Flagstaff, AZ",AZ,"$2,106"
"Sierra Vista, AZ",AZ,"$1,274"
"Show Low, AZ",AZ,"$1,882"
"Payson, AZ",AZ,"$1,765"
"Nogales, AZ",AZ,"$1,317"
"Los Angeles, CA",CA,"$2,885"
"San Francisco, CA",CA,"$3,066"
"Riverside, CA",CA,"$2,477"
"San Diego, CA",CA,"$2,889"
"Sacramento, CA",CA,"$2,212"
"San Jose, CA",CA,"$3,399"
"Fresno, CA",CA,"$1,850"
"Bakersfield, CA",CA,"$1,783"
"Oxnard, CA",CA,"$2,971"
"Stockton, CA",CA,"$2,338"
"Modesto, CA",CA,"$2,072"
"Santa Rosa, CA",CA,"$2,600"
"Visalia, CA",CA,"$1,755"
"Vallejo, CA",CA,"$2,396"
"Santa Maria, CA",CA,"$3,431"
"Salinas, CA",CA,"$2,831"
"San Luis Obispo, CA",CA,"$2,814"
"Merced, CA",CA,"$1,875"
"Santa Cruz, CA",CA,"$3,424"
"Chico, CA",CA,"$1,615"
"Redding, CA",CA,"$1,587"
"El Centro, CA",CA,"$1,544"
"Yuba City, CA",CA,"$1,871"
"Madera, CA",CA,"$2,230"
"Hanford, CA",CA,"$1,617"
"Napa, CA",CA,"$2,843"
"Eureka, CA",CA,"$1,663"
"Truckee, CA",CA,"$2,386"
"Ukiah, CA",CA,"$1,674"
"Clearlake, CA",CA,"$1,573"
"Red Bluff, CA",CA,"$1,542"
"Sonora, CA",CA,"$1,461"
"Susanville, CA",CA,"$1,308"
"Crescent City, CA",CA,"$1,575"
"Denver, CO",CO,"$1,856"
"Colorado Springs, CO",CO,"$1,688"
"Fort Collins, CO",CO,"$1,885"
"Boulder, CO",CO,"$2,497"
"Greeley, CO",CO,"$1,692"
"Pueblo, CO",CO,"$1,272"
"Grand Junction, CO",CO,"$1,692"
"Glenwood Springs, CO",CO,"$2,749"
"Edwards, CO",CO,"$3,507"
"Durango, CO",CO,"$1,893"
"Ca-��on City, CO",CO,"$1,271"
"Montrose, CO",CO,"$1,996"
"Breckenridge, CO",CO,"$3,359"
"Steamboat Springs, CO",CO,"$3,252"
"Sterling, CO",CO,"$1,192"
"Hartford, CT",CT,"$1,830"
"Bridgeport, CT",CT,"$2,727"
"New Haven, CT",CT,"$1,929"
"Norwich, CT",CT,"$1,850"
"Torrington, CT",CT,"$1,765"
"Salisbury, MD",DE,"$1,861"
"Dover, DE",DE,"$1,725"
"Miami, FL",FL,"$2,652"
"Tampa, FL",FL,"$2,000"
"Orlando, FL",FL,"$1,934"
"Jacksonville, FL",FL,"$1,659"
"North Port, FL",FL,"$2,094"
"Cape Coral, FL",FL,"$1,832"
"Lakeland, FL",FL,"$1,833"
"Deltona, FL",FL,"$1,771"
"Palm Bay, FL",FL,"$1,895"
"Pensacola, FL",FL,"$1,697"
"Port St. Lucie, FL",FL,"$2,305"
"Tallahassee, FL",FL,"$1,478"
"Naples, FL",FL,"$2,709"
"Ocala, FL",FL,"$1,607"
"Gainesville, FL",FL,"$1,681"
"Crestview, FL",FL,"$1,932"
"Punta Gorda, FL",FL,"$1,872"
"Panama City, FL",FL,"$1,714"
"Sebastian, FL",FL,"$2,233"
"Homosassa Springs, FL",FL,"$1,664"
"The Villages, FL",FL,"$1,679"
"Sebring, FL",FL,"$1,516"
"Key West, FL",FL,"$3,590"
"Palatka, FL",FL,"$1,333"
"Lake City, FL",FL,"$1,402"
"Clewiston, FL",FL,"$2,044"
"Atlanta, GA",GA,"$1,819"
"Augusta, GA",GA,"$1,489"
"Savannah, GA",GA,"$1,789"
"Columbus, GA",GA,"$1,271"
"Macon, GA",GA,"$1,195"
"Athens, GA",GA,"$1,749"
"Gainesville, GA",GA,"$1,681"
"Warner Robins, GA",GA,"$1,567"
"Albany, GA",GA,$979
"Valdosta, GA",GA,"$1,392"
"Dalton, GA",GA,"$1,523"
"Brunswick, GA",GA,"$1,704"
"LaGrange, GA",GA,"$1,285"
"Rome, GA",GA,"$1,213"
"Hinesville, GA",GA,"$1,738"
"Statesboro, GA",GA,"$1,602"
"Jefferson, GA",GA,"$2,133"
"Dublin, GA",GA,"$1,101"
"Calhoun, GA",GA,"$1,654"
"Waycross, GA",GA,"$1,056"
"St. Marys, GA",GA,"$1,520"
"Milledgeville, GA",GA,"$1,131"
"Cornelia, GA",GA,"$1,688"
"Thomasville, GA",GA,"$1,537"
"Tifton, GA",GA,"$1,375"
"Jesup, GA",GA,"$1,175"
"Urban Honolulu, HI",HI,"$2,757"
"Hilo, HI",HI,"$2,577"
"Kahului, HI",HI,"$3,312"
"Kapaa, HI",HI,"$3,444"
"Des Moines, IA",IA,"$1,249"
"Cedar Rapids, IA",IA,"$1,040"
"Iowa City, IA",IA,"$1,377"
"Waterloo, IA",IA,"$1,128"
"Sioux City, IA",IA,"$1,105"
"Ames, IA",IA,"$1,158"
"Dubuque, IA",IA,"$1,025"
"Marshalltown, IA",IA,$872
"Fort Dodge, IA",IA,$826
"Pella, IA",IA,"$1,014"
"Boise City, ID",ID,"$1,737"
"Coeur d'Alene, ID",ID,"$1,746"
"Idaho Falls, ID",ID,"$1,424"
"Twin Falls, ID",ID,"$1,717"
"Pocatello, ID",ID,"$1,076"
"Rexburg, ID",ID,"$1,200"
"Lewiston, ID",ID,"$1,826"
"Blackfoot, ID",ID,"$1,032"
"Sandpoint, ID",ID,"$2,116"
"Burley, ID",ID,"$1,506"
"Moscow, ID",ID,"$1,272"
"Chicago, IL",IL,"$2,052"
"Peoria, IL",IL,"$1,130"
"Davenport, IA",IL,"$1,039"
"Rockford, IL",IL,"$1,228"
"Champaign, IL",IL,"$1,267"
"Springfield, IL",IL,"$1,134"
"Bloomington, IL",IL,"$1,275"
"Ottawa, IL",IL,"$1,093"
"Carbondale, IL",IL,$846
"Kankakee, IL",IL,"$1,396"
"Decatur, IL",IL,"$1,060"
"Quincy, IL",IL,"$1,019"
"Danville, IL",IL,$815
"Rochelle, IL",IL,"$1,106"
"Freeport, IL",IL,$754
"Pontiac, IL",IL,"$1,004"
"Dixon, IL",IL,$972
"Indianapolis, IN",IN,"$1,494"
"Fort Wayne, IN",IN,"$1,149"
"South Bend, IN",IN,"$1,350"
"Evansville, IN",IN,"$1,062"
"Lafayette, IN",IN,"$1,344"
"Elkhart, IN",IN,"$1,104"
"Terre Haute, IN",IN,$936
"Bloomington, IN",IN,"$1,688"
"Muncie, IN",IN,"$1,071"
"Michigan City, IN",IN,"$1,170"
"Kokomo, IN",IN,$994
"Columbus, IN",IN,"$1,366"
"Warsaw, IN",IN,"$1,081"
"Marion, IN",IN,$953
"Richmond, IN",IN,$808
"New Castle, IN",IN,$905
"Bedford, IN",IN,$913
"Auburn, IN",IN,"$1,006"
"Crawfordsville, IN",IN,$928
"Wichita, KS",KS,"$1,139"
"Topeka, KS",KS,"$1,108"
"Manhattan, KS",KS,"$1,264"
"Lawrence, KS",KS,"$1,542"
"Hutchinson, KS",KS,$810
"Salina, KS",KS,"$1,074"
"Emporia, KS",KS,$731
"Coffeyville, KS",KS,$796
"Great Bend, KS",KS,$771
"Louisville, KY",KY,"$1,350"
"Lexington, KY",KY,"$1,528"
"Bowling Green, KY",KY,"$1,226"
"Elizabethtown, KY",KY,"$1,315"
"London, KY",KY,"$1,029"
"Owensboro, KY",KY,"$1,280"
"Richmond, KY",KY,$981
"Paducah, KY",KY,"$1,269"
"Frankfort, KY",KY,"$1,060"
"Somerset, KY",KY,"$1,105"
"Bardstown, KY",KY,"$1,144"
"Murray, KY",KY,"$1,110"
"New Orleans, LA",LA,"$1,575"
"Baton Rouge, LA",LA,"$1,344"
"Lafayette, LA",LA,"$1,354"
"Shreveport, LA",LA,"$1,244"
"Lake Charles, LA",LA,"$1,110"
"Houma, LA",LA,"$1,215"
"Monroe, LA",LA,"$1,008"
"Alexandria, LA",LA,$977
"Hammond, LA",LA,"$1,222"
"Opelousas, LA",LA,$900
"Fort Polk South, LA",LA,"$1,135"
"Ruston, LA",LA,"$1,058"
"DeRidder, LA",LA,"$1,300"
"Boston, MA",MA,"$2,990"
"Worcester, MA",MA,"$2,096"
"Springfield, MA",MA,"$1,939"
"Barnstable Town, MA",MA,"$2,555"
"Pittsfield, MA",MA,"$1,543"
"Baltimore, MD",MD,"$1,871"
"Hagerstown, MD",MD,"$1,553"
"California, MD",MD,"$1,877"
"Cumberland, MD",MD,$934
"Easton, MD",MD,"$2,356"
"Cambridge, MD",MD,"$1,819"
"Portland, ME",ME,"$2,202"
"Bangor, ME",ME,"$1,519"
"Augusta, ME",ME,"$1,399"
"Lewiston, ME",ME,"$1,539"
"Detroit, MI",MI,"$1,461"
"Grand Rapids, MI",MI,"$1,720"
"Lansing, MI",MI,"$1,306"
"Flint, MI",MI,"$1,100"
"Ann Arbor, MI",MI,"$2,128"
"Kalamazoo, MI",MI,"$1,364"
"Saginaw, MI",MI,"$1,026"
"Muskegon, MI",MI,"$1,183"
"Jackson, MI",MI,"$1,084"
"Niles, MI",MI,"$1,483"
"Monroe, MI",MI,"$1,165"
"Traverse City, MI",MI,"$1,895"
"Battle Creek, MI",MI,"$1,124"
"Holland, MI",MI,"$1,468"
"Bay City, MI",MI,"$1,078"
"Adrian, MI",MI,"$1,210"
"Midland, MI",MI,"$1,472"
"Marquette, MI",MI,"$1,463"
"Mount Pleasant, MI",MI,"$1,150"
"Sturgis, MI",MI,"$1,285"
"Cadillac, MI",MI,"$1,200"
"Hillsdale, MI",MI,$980
"Big Rapids, MI",MI,"$1,077"
"Houghton, MI",MI,"$1,050"
"Minneapolis, MN",MN,"$1,675"
"Duluth, MN",MN,"$1,729"
"Rochester, MN",MN,"$1,655"
"St. Cloud, MN",MN,"$1,192"
"Grand Forks, ND",MN,"$1,132"
"Mankato, MN",MN,"$1,453"
"Brainerd, MN",MN,"$1,241"
"Faribault, MN",MN,"$1,547"
"Winona, MN",MN,"$1,103"
"Red Wing, MN",MN,"$1,200"
"Bemidji, MN",MN,"$1,514"
"Austin, MN",MN,$760
"Owatonna, MN",MN,"$1,171"
"Albert Lea, MN",MN,$883
"St. Louis, MO",MO,"$1,400"
"Kansas City, MO",MO,"$1,448"
"Springfield, MO",MO,"$1,279"
"Columbia, MO",MO,"$1,325"
"Joplin, MO",MO,"$1,170"
"Jefferson City, MO",MO,"$1,023"
"St. Joseph, MO",MO,$923
"Cape Girardeau, MO",MO,"$1,016"
"Branson, MO",MO,"$1,176"
"Warrensburg, MO",MO,$959
"Fort Leonard Wood, MO",MO,"$1,110"
"Rolla, MO",MO,$767
"Sedalia, MO",MO,"$1,083"
"Kirksville, MO",MO,$864
"Maryville, MO",MO,$680
"Jackson, MS",MS,"$1,548"
"Gulfport, MS",MS,"$1,365"
"Hattiesburg, MS",MS,"$1,300"
"Tupelo, MS",MS,"$1,236"
"Meridian, MS",MS,"$1,161"
"Laurel, MS",MS,"$1,226"
"Starkville, MS",MS,"$1,489"
"Columbus, MS",MS,"$1,335"
"Oxford, MS",MS,"$2,643"
"Billings, MT",MT,"$1,403"
"Missoula, MT",MT,"$1,524"
"Bozeman, MT",MT,"$2,108"
"Kalispell, MT",MT,"$2,050"
"Great Falls, MT",MT,"$1,366"
"Helena, MT",MT,"$1,483"
"Butte, MT",MT,"$1,270"
"Charlotte, NC",NC,"$1,716"
"Raleigh, NC",NC,"$1,667"
"Greensboro, NC",NC,"$1,387"
"Winston, NC",NC,"$1,503"
"Durham, NC",NC,"$1,645"
"Fayetteville, NC",NC,"$1,474"
"Asheville, NC",NC,"$1,777"
"Hickory, NC",NC,"$1,420"
"Wilmington, NC",NC,"$1,714"
"Jacksonville, NC",NC,"$1,489"
